Sum of Indemnity Amount,,,,,,,,,,,,
FIPS,1,2,3,4,5,6,7,8,9,10,11,12
46037,16870.5,,3791,6516926.24,4396532.87,995868.59,807255.3,559537.26,264078.5,366407.5,87712.24,12938
46039,18324,,455529.38,2543992.54,7361810.68,1462084.7,406646.85,284787.4,188601.1,205166,261325.35,588570
46041,,,,1408130.4,1320991.7,425798.6,386722,95186.2,213063.8,156571.8,84109.5,
46043,272273,1845,1290435.08,12904857,8690296.4,4837966.06,362110.4,147290.96,9866,503.5,21994.6,26678
46045,,,1672870,4131400.5,7513425.25,1824572.35,826585,587344.9,3218,28530,522.5,46260.5
46047,7385,,18093,78683,101665,82674,2856,56900,26100,,,
46049,,,392685,8865899,11534293.75,3575105.05,1737086.34,879239.8,57635,16785,44451.56,17698
46051,26105,,169387.27,5261063.5,4101753.93,600799.44,876567.45,447346.6,351017.25,89585.5,137286.06,28093
46053,122610,81788.57,4442,850128.59,3448187.14,1691873.1,148720.5,538987.1,12535,42997,10260,9293
46055,19080.6,56320,232576,727665.52,1430143.5,354496,167479,297027.38,5682,39970,,
46057,,,250261,3119673.82,7142285.15,601594.13,336390.5,74836.1,34922.3,112636,12945,20506
46059,,354855,338692.11,10628180.11,22079518.43,3291819.5,371371.84,214292.91,479093.1,2494,57028,24266
46061,130645,25638,2600970,16492403.04,6425040.8,4233711.4,724799.94,144324.61,152512,,37910.21,7886
46063,,,2185.2,39964.2,294353.6,19928,124127.55,481653.8,136711,89582.4,31394.25,
46065,36850,,573471,934402.5,937317.5,495057,135659,689475,,35590,40764,
46067,698471,16992,796780.62,29927142.48,24444338.74,6485569.01,649016.6,61132.3,86825,,6372.25,6777
