FIPS,Sum of Indemnity Amount
31147,4962110
31149,1925462
31151,345488
31153,1144925
31155,1742469
31157,5847224
31159,665124
31161,4038096
31163,1827615
31165,679358
31167,690191
31169,941520
31171,16028
31173,429506
31175,3283188.25
31177,3559486
31179,533331
31181,3582600
31183,3284438
31185,415973
31999,72298
32001,3274906
32007,5379359
32011,1305226
32013,2837159
32015,1636957
32017,2126486
32019,369079
32021,1367012
32023,3968866
32027,2579823
32031,1849857
32033,4085850
32999,40200
33005,10202
33007,365
33009,32419
33011,137949
33013,10953
33015,16408
33017,14763
33999,3531
34001,162770
34005,1107758
34011,316421
34015,701129
34019,224347
34021,114740
34023,8153
34025,198903
34027,16175
34029,39375
34033,882171
34035,24895
34037,45255
34041,161930
34999,7684
35003,102284
35005,6701337
35006,370557
35007,242546
35009,6773984
35011,706607
35013,4467185
35015,3175031
35017,237235
35019,136856
35021,276325
35023,305180
35025,7428768
35027,1172728
35029,1681723
35031,53569
35033,52954
35035,2820858
35037,3422403
35039,76276
35041,8726496
35045,1445393
35047,254094
35049,14813
35051,586899
35053,562727
35057,123224
35059,653331
35061,161344
35999,25347
36001,160641
36003,617454
36007,22146
36009,929821
36011,2410196.65
36013,869342
36015,28453
36017,128102
36019,1880713
36021,188383
36023,121672
36025,4176
36027,689667
36029,2092829
36031,194465
36033,273660
36035,125352
36037,2864827
36043,851235
36045,3669450
36049,109625
36051,4101957
36053,1237804
36055,5537141
36057,857750
36063,10265269
36065,1357108.6
36067,2895641
36069,3381305.55
36071,601365
36073,8010034.5
36075,1765043
36077,190731
36083,278900
36089,1120000
36091,539629
36093,66102
36095,135635
36097,161318.3
36099,2067681.4
36101,1911215.5
36103,112616
36107,1879
36109,222661
36111,381452
36115,757449
36117,7374477.2
36121,1502947
36123,815231.5
36999,11643
37001,649909
37003,1121851
37007,1368537
37013,7577661.25
37015,3879299
37017,11804935.9
37019,889338
37021,2454
37023,25895
37025,232929.5
37027,2537
37029,1079803
37031,784411
37033,1906582
37035,437075
37037,368477
37039,2610
37041,552478.56
37043,2198
37045,653573
37047,9282677.55
37049,3873677
37051,4326243
37053,124351
37055,189892
37057,696186
37059,455421
37061,9805013
37063,193966
37065,5899069.7
37067,1148727
37069,4157806
37071,135274.48
37073,140687.29
37077,1868295
37079,5728201
37081,2679573.5
37083,1395431.5
37085,3830355.8
37087,146922
37089,9622239
37091,1545864.4
37093,485036.7
37095,1198439.8
37097,704813.4
37101,5581716.75
37103,7536210
37105,1127910
37107,6866189
37109,548079
37111,15824
37115,2155
37117,3014851
37119,67057
37123,37435
37125,862508.8
37127,3861725.9
37131,1236685.8
37133,6055980
37135,894012
37137,959167
37139,1534548.6
37141,2687057.95
37143,643347.2
37145,3846770
37147,9000916
37149,478290
37151,249158
37153,223836
37155,7018998.2
37157,3044103
37159,876457.9
37161,12295
37163,16847557.08
37165,1191898.6
37167,472739
37169,1016366
37171,1621424
37175,40691
37177,765824
37179,2246332.2
37181,1163660
37183,1795655
37185,2269300.5
37187,1852349.5
37189,3577
37191,6841175.3
37193,1420081
37195,3350594
37197,878315
37999,281149
38001,5950750
38003,43868909.44
38005,13732832.24
38007,1948585
38009,19538930.2
38011,7287647
38013,19852019.04
38015,7334375.07
38017,52966975.46
38019,42100072.94
38021,36264366.5
38023,17298296.63
38025,7309636.15
38027,3985726.84
38029,18817207.5
38031,5964171.58
38033,4110928
38035,40835903.15
38037,6642905
38039,13747135.59
38041,19557614
38043,8330487.36
38045,44447448.38
38047,4969084.7
38049,6986694.2
38051,10212491.8
38053,3936721.51
38055,13433708
38057,2467903.02
38059,9370938
38061,16661334.42
38063,12608332.84
38065,1549722
38067,27018651.55
38069,6795422.65
38071,22488800.23
38073,19914986.73
38075,22175242.16
38077,24303997.25
38079,9104788.6
38081,23704845.1
38083,5366484
38085,3579248
38087,7037856
38089,13762371
38091,15202077.53
38093,47795541.55
38095,17939162.27
38097,43467704.99
38099,23332609.57
38101,27220040.19
38103,14036174.23
38105,17491272.01
39001,1713306
39003,9127015.33
39005,3572412
39007,2286060.85
39009,99157
39011,9222936.09
39015,4144287.5
39017,2775154.91
39019,978196.85
39021,6435765.4
39023,6889017.4
39025,1317906
39027,2091475.63
39029,1050101.06
39031,1188540
39033,8014022.5
39035,34639
39037,9258325.5
39039,19162198.31
39041,9281535.8
39043,2954193.5
39045,826976
39047,4327263.04
39049,916212.9
39051,19555788
39053,272071
39055,576319
39057,1648404.95
39059,356518
39061,97703
39063,23354071.38
39065,29519088.82
39067,141020
39069,17585777.69
39071,3856213.8
39073,221044
39075,992340
39077,13736148.72
39079,411755
39081,213137
39083,2100224
39085,17362
39087,70426
39089,2194029.5
39091,17620834
39093,7794534.11
39095,4494873
39097,7062822.5
39099,1458361
39101,12961945.36
39103,3627425.2
39105,193687
39107,7479762.7
39109,6098092
39113,783381.5
39115,49782
39117,10197907.9
39119,596722
39123,10393944.3
39125,15777022.98
39127,1317848
39129,5350642.5
39131,856873
39133,926288
39135,1645897
39137,9924525.05
39139,3128731.6
39141,957901.6
39143,10046117.9
39145,394872
39147,22670265
39149,6035514.6
39151,1536873
39153,111964
39155,1338670
39157,1249779.58
39159,12284108.26
39161,9250580.4
39163,162685
39165,2157384
39167,103406.5
39169,4281790.85
39171,21508969.2
39173,36076250.12
39175,16167957.98
39999,15579
40003,1211023.8
40005,50020
40007,2488367.54
40009,1127225
40011,505278
40013,213062
40015,2440417
40017,1852866
40019,27908
40021,267
40023,112463
40025,3140047
40027,32298
40029,7642
40031,3272270.4
40033,3381839.7
40035,668881
40037,9352
40039,1856084
40041,61617
40043,315158
40045,491338
40047,3544830
40049,402257
40051,1196363
40053,7193115.3
40055,3104864.7
40057,2223744
40059,569500
40061,132276
40063,36811
40065,7024988.5
40067,31050
40069,33542
40071,8030915.12
40073,770203
40075,7862370.38
40077,8141
40079,2026206
40081,35683
40083,802239
40085,90265
40087,315796.6
40089,2540373
40091,12299
40093,633235
40095,165422
40097,97595.75
40099,13811
40101,3083811
40103,1952386
40105,383676
40107,104091
40109,179778
40111,53158
40113,535761.26
40115,814504.5
40117,444212
40119,213908
40121,15943
40123,25931
40125,216794
40127,10324
40129,427599
40131,89629
40133,5039
40135,3063999.5
40137,95083
40139,6011947
40141,18974924.06
40143,137430
40145,1071118.5
40147,404471
40149,3696300.55
40151,512739
40153,274861
40999,1945901
41001,2314081
41003,22330
41005,357322
41011,31346
